type,aux info,tag used,org_type,old_label
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(80EDFea_20VAP)
